OLS_lD,OLS_α,GLS_lD,GLS_α
-2.555531371777679,0.4589458822028405,-2.4721710877842447,0.5241732496224697
-2.5600348665989863,0.6375992386173852,-2.634904618659631,0.553303818163417
-1.6866871660729492,0.2657385420924445,-1.731026023310955,0.24121880256202205
-2.7762578943162417,0.1302765744050145,-2.749596518624786,0.1602454442505791
-2.759863478964027,0.3499259853139751,-2.763884115167231,0.3584524109044809
-2.432528832774599,0.1721920859321564,-2.473209728289137,0.13072100370124146
-3.197303724225897,0.2112525194422581,-3.108472480519054,0.29289356036850905
-2.780929467558652,0.339957543286177,-2.786133178663592,0.3544624254917733
-2.6664656391165433,0.046764138977449576,-2.6233508387275744,0.09655190452238437
-2.4330962393016904,0.3804140484156022,-2.4447234617673392,0.3712192067923154
-1.4553326374927584,0.8973676445374288,-1.4868684767820144,0.8589389690324372
-3.4992181836550866,0.0765865201471918,-3.397856425530846,0.18045427838814349
-2.2214970931059383,0.34644840167047875,-2.2393369356023585,0.3243804849840529
-2.2503980697109913,0.11094270523059535,-2.2635514144736635,0.09307580170398054
-1.782947851765452,0.14868978790194198,-1.7688346056315125,0.19058407979415368
-1.8697950062394844,0.5669163386635248,-1.9684217625230458,0.4992252834092189
-2.3230856452086144,0.13462627541565197,-2.2983139352593893,0.16093769654434115
-1.7206179661980103,0.8119860688321392,-1.7435160789191761,0.7782893155274307
-2.7741145065318165,0.39680619626448355,-2.770110782051011,0.3963451409018513
-2.3793801785119397,0.2275051204519727,-2.2903946063470073,0.3191055051381791
-2.195989837057918,0.19520977360097902,-2.2221884472965523,0.18362446489152617
-1.3777523811679835,0.7912770599808141,-1.2655870103102345,0.927302755386978
-2.7791167810008215,0.09433978446085334,-2.788287004094693,0.0919925661221711
-1.8939313056931946,0.3040441865035408,-1.9325111567779154,0.2527197412128431
-1.8991461825168532,0.4265669277633357,-1.9574395030823486,0.3621101150395688
-3.0186423125641824,0.02665094703051807,-3.0255429801113727,0.009262880668878008
-2.114056617267673,0.28006342597726785,-2.174767899647045,0.2146334423253229
-2.3241173547432776,0.3514925394088273,-2.268838916220765,0.38731165897786973
-1.6570902661472884,0.45285586055092786,-1.726383214610768,0.39386335966725555
-2.922490094547216,0.3361703326256027,-2.949607816168381,0.3021267845922889
-0.6909609236867577,1.1007700913099967,-0.8863079662188496,0.9006327283637688
-3.041248438631884,-0.03258519485290279,-3.0156280972068568,-0.011664914204509855
-2.8817056054931296,0.24243176500232977,-2.8877006597173978,0.2449478695661129
-2.530748268910063,-0.031751003398897026,-2.5018140614045774,0.008032579858202594
-2.5764112185950285,-0.013502717334541003,-2.494394135321783,0.07993278427230688
-2.3833067317411194,-0.007966413045332743,-2.3732913545310312,0.007876553271936173
-0.6557181176279759,1.1275870228291103,-0.7785479925171581,0.9964433569461671
-3.316416150188731,0.003107995248697648,-3.2721676728439455,0.05648630829296609
-2.554423781255543,0.06662347112752087,-2.580233521944073,0.04372106810643628
-2.0822305151076455,0.1584864319115038,-2.0917181537850813,0.1517774082755286
-2.4835339397153158,0.1869883527288856,-2.4719148165577507,0.19612158861984136
-2.9510247633265987,-0.0030148092545960736,-2.9397004250956433,-0.00432166273716403
-2.4303721089588004,0.09037648031251067,-2.3848553159671475,0.128162703263956
-2.285132728187671,0.2563671994270944,-2.243747536852797,0.2603450155984273
-2.5041588717314607,0.2217597251046115,-2.5193665442444186,0.21500036205953532
-3.0293985629841487,0.06214517911520012,-2.9853247876172286,0.10812950973987266
-2.8431421893804334,0.04595598953744684,-2.859812964971769,0.03025728571552177
-2.943216074313632,0.06285579040850031,-2.9790427249880858,0.02347408667116627
-1.7632813942046823,0.624264505948986,-1.82318823334194,0.5846475204732627
-2.607969587922634,0.5716319106882732,-2.6832168568261614,0.47819631421672787
-2.9869283719201505,0.22175172035034052,-2.926777657897115,0.28370832123713197
-3.0498362367335794,0.15226835150984996,-2.9612866636582478,0.2365093958241421
-1.4633492385631044,0.6907321165097571,-1.5647060598765257,0.563909159046417
-2.366887258222148,0.48937122279010836,-2.3377058056289823,0.5729010666935738
-1.8239237246766402,0.8660212884740446,-1.8374622348611473,0.8580294197820922
-1.9315395035313747,0.8056042993578885,-1.9589852523795104,0.763256868457941
-2.042087774657695,0.7537373132135201,-2.029300920292583,0.7955259398838159
-1.9497845787837873,0.5698232826264551,-1.924490015916009,0.6660935083399268
-2.552895649161597,0.9027776313196405,-2.8491914146195363,0.5594451414373076
-2.076721650062203,0.6481370402984403,-2.1805315714189706,0.5566874166381176
-3.5466787333607197,0.07439508260273797,-3.5440502409542334,0.07920662479859833
-2.330259364026027,0.7654247600755202,-2.401040994275527,0.6492282699176781
-1.8466515811059692,0.8595738962964656,-1.914442800452345,0.8229262140411504
-2.970923549673758,0.11355103618306828,-2.8016264122157137,0.2769067671714363
-1.970287264266143,0.7722726421318953,-1.9430384843488175,0.7800370138873808
-3.4098324285888832,-0.027641546761255853,-3.3389104858333063,0.0389860392328505
-2.506979918129902,0.5571469253405752,-2.543562745713778,0.501396990868137
-2.3679357309879503,0.4562541957210762,-2.345376390461405,0.4935470598414509
-1.7396336617236807,0.8352956467270438,-1.7737226514479696,0.8042452211615537
-3.0093743408210827,0.08679355516345666,-3.0489449505929076,0.04415496427772979
-1.68911393635043,0.7225099771786248,-1.758791843307181,0.6961993188866028
-1.8934157300223928,0.7206454197374299,-1.8632122813901786,0.7530168254004954
-2.8360080216236554,0.22254618429586515,-2.712918055752005,0.335854646546635
-1.5912218765325434,0.7774442930088519,-1.399554352394789,1.0155836095749184
-1.988756814773831,0.6848642834348588,-1.9901736298949362,0.7150204550594721
-2.6223603547838543,0.5957938615762597,-2.6099599689229405,0.6276149270525115
-2.2869740449834204,1.1886482243895635,-2.4743416692675066,1.0040777934429475
-2.7116999247060196,0.8780766659414958,-2.758108643924741,0.8131709915480088
-1.9386756710676742,1.0564194843841594,-1.9040617824236534,1.0755173460164706
-2.694508931334898,0.586159654720344,-2.6167327902174744,0.6879513813824832
-1.8605462684113094,0.7892021760811456,-1.7872142874104169,0.8941313077303676
-3.131718197596971,0.4700176063789776,-3.154059760139253,0.43960117003178495
-2.734974854991732,0.30602000983628486,-2.6673481888992026,0.40510609587683505
-3.8604817837511494,-0.015162537213829097,-3.8255886047215184,0.012857438462160089
-2.5177687238958786,0.9003372174517352,-2.7021083029375306,0.6863706478817735
-2.731503972648863,0.5372905459862434,-2.7752918063912704,0.4724347520794583
